stimulus;name_stimulus;cropping_percentage;orientation(0:vertical_1:horizontal);image_ref_position(0:right/down_1:left/up);answer;time_reaction;entropy
15050.000000;contemporary15050.png;493.000000;0.000000;0.000000;left;3.837488;13.282402
9050.000000;contemporary09050.png;119.000000;1.000000;0.000000;left;5.916580;12.612673
4050.000000;contemporary04050.png;158.000000;0.000000;1.000000;left;4.518724;11.638296
50.000000;contemporary00050.png;290.000000;1.000000;1.000000;right;1.222859;11.643118
10050.000000;contemporary10050.png;363.000000;0.000000;0.000000;left;3.137008;11.629663
7050.000000;contemporary07050.png;577.000000;1.000000;0.000000;left;3.403049;11.584917
1050.000000;contemporary01050.png;367.000000;0.000000;1.000000;right;3.413436;11.477533
14050.000000;contemporary14050.png;553.000000;1.000000;0.000000;left;3.819114;11.476315
18050.000000;contemporary18050.png;493.000000;1.000000;0.000000;left;1.151317;11.476110
20000.000000;contemporary20000.png;399.000000;0.000000;1.000000;left;1.555405;11.476022
19050.000000;contemporary19050.png;451.000000;0.000000;0.000000;left;1.437264;11.475890
12050.000000;contemporary12050.png;253.000000;1.000000;1.000000;left;3.955793;11.473029
8050.000000;contemporary08050.png;635.000000;1.000000;1.000000;left;1.617537;11.453116
16050.000000;contemporary16050.png;183.000000;1.000000;0.000000;left;4.041589;11.452779
11050.000000;contemporary11050.png;605.000000;0.000000;0.000000;left;3.333582;11.449409
17050.000000;contemporary17050.png;246.000000;1.000000;1.000000;left;2.851687;11.449210
6050.000000;contemporary06050.png;218.000000;0.000000;0.000000;left;6.263644;11.390709
2050.000000;contemporary02050.png;384.000000;1.000000;0.000000;right;2.436104;11.110142
13050.000000;contemporary13050.png;451.000000;1.000000;1.000000;left;3.722176;11.109100
3050.000000;contemporary03050.png;271.000000;1.000000;1.000000;right;2.563994;10.815077
5050.000000;contemporary05050.png;328.000000;1.000000;1.000000;right;4.588131;10.792081
1900.000000;contemporary01900.png;419.000000;0.000000;1.000000;right;1.260068;10.746881
18400.000000;contemporary18400.png;441.000000;0.000000;0.000000;left;3.576482;10.746631
300.000000;contemporary00300.png;197.000000;0.000000;1.000000;right;1.172470;10.728650
4650.000000;contemporary04650.png;199.000000;1.000000;1.000000;right;5.316450;10.540610
5250.000000;contemporary05250.png;514.000000;1.000000;1.000000;left;5.884749;10.396083
6300.000000;contemporary06300.png;237.000000;0.000000;1.000000;left;2.778690;10.329194
3800.000000;contemporary03800.png;423.000000;1.000000;1.000000;right;1.152845;10.221764
1950.000000;contemporary01950.png;164.000000;0.000000;1.000000;right;2.304815;10.188604
150.000000;contemporary00150.png;591.000000;1.000000;1.000000;right;1.133215;10.177753
2150.000000;contemporary02150.png;256.000000;0.000000;1.000000;left;4.012972;9.663868
5850.000000;contemporary05850.png;209.000000;1.000000;0.000000;right;3.987059;9.405616
3650.000000;contemporary03650.png;622.000000;0.000000;1.000000;right;2.943384;9.382300
8800.000000;contemporary08800.png;612.000000;0.000000;1.000000;left;3.543558;9.363756
6200.000000;contemporary06200.png;341.000000;1.000000;0.000000;right;6.755454;9.166084
6000.000000;contemporary06000.png;210.000000;0.000000;0.000000;left;1.645569;9.140826
6700.000000;contemporary06700.png;642.000000;0.000000;1.000000;left;1.943567;9.122253
7350.000000;contemporary07350.png;302.000000;0.000000;1.000000;left;1.893833;9.103477
4300.000000;contemporary04300.png;568.000000;0.000000;0.000000;left;2.944146;9.005022
3050.000000;contemporary03050.png;157.000000;0.000000;0.000000;left;3.784001;8.831479
18600.000000;contemporary18600.png;445.000000;1.000000;0.000000;left;2.449979;8.831110
2450.000000;contemporary02450.png;593.000000;0.000000;0.000000;left;2.170193;8.643416
1100.000000;contemporary01100.png;490.000000;0.000000;1.000000;right;0.888233;8.638879
11250.000000;contemporary11250.png;428.000000;0.000000;0.000000;left;5.036308;8.635226
13650.000000;contemporary13650.png;512.000000;0.000000;0.000000;left;1.422387;8.633379
4300.000000;contemporary04300.png;568.000000;1.000000;0.000000;left;8.256341;8.600369
18250.000000;contemporary18250.png;392.000000;1.000000;0.000000;left;1.420487;8.600042
6250.000000;contemporary06250.png;405.000000;0.000000;1.000000;right;1.232471;8.424276
15500.000000;contemporary15500.png;487.000000;1.000000;0.000000;left;3.332756;8.423716
15350.000000;contemporary15350.png;310.000000;1.000000;1.000000;left;2.002672;8.423116
16950.000000;contemporary16950.png;474.000000;1.000000;1.000000;left;2.240821;8.422750
